D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
4,15,1,11,"T(15, 4, 1)",0.232794772681,"(1, 4)",0.639741828184,"(2, 4)",0.99999999999999867,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.455698772813,"(1, 6)",0.591047871968,"(1, 4)",0.639741828184,"(2, 4)",1.0,HE
4,16,1,12,"T(16, 4, 1)",0.230222723484,"(1, 4)",0.63590177377,"(2, 4)",0.99999999999999967,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.450048575004,"(1, 6)",0.583255052927,"(1, 4)",0.63590177377,"(2, 4)",1.0,HE
4,17,1,13,"T(17, 4, 1)",0.228006180355,"(1, 4)",0.632573735271,"(2, 4)",0.99999999999999512,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.445207024718,"(1, 6)",0.576602805653,"(1, 4)",0.632573735271,"(2, 4)",1.0,HE
4,18,1,14,"T(18, 4, 1)",0.226076059518,"(1, 4)",0.629661422484,"(2, 4)",0.99999999999999933,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.44101135952,"(1, 6)",0.570856212156,"(1, 4)",0.629661422484,"(2, 4)",1.0,HE
4,19,1,15,"T(19, 4, 1)",0.224380118312,"(1, 4)",0.627091325029,"(2, 4)",0.99999999999999778,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.437339917875,"(1, 6)",0.565841080682,"(1, 4)",0.627091325029,"(2, 4)",1.0,HE
4,20,1,16,"T(20, 4, 1)",0.22287811038,"(1, 4)",0.624806337375,"(2, 4)",0.99999999999999889,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.434099892486,"(1, 6)",0.561425419484,"(1, 4)",0.624806337375,"(2, 4)",1.0,HE
5,6,1,1,"T(6, 5, 1)",0.267949192431,"(1, 6)",1.0,"(1, 3)",1.0000000000000007,"[(1, 4), (2, 6)]",1.267949192431,"(1, 6)",1.0,"(1, 4)",1.0,"(1, 5)",0.697224362268,"(2, 5)",0.881716134423,HP
5,7,1,2,"T(7, 5, 1)",0.225377100496,"(1, 5)",0.608617619369,"(2, 5)",0.82659918497656781,"[(1, 6), (2, 7)]",1.0,"(1, 6)",0.585786437627,"(2, 7)",1.0,"(1, 5)",0.608617619369,"(2, 5)",0.826599184977,HP
5,8,1,3,"T(8, 5, 1)",0.202256672304,"(1, 5)",0.560688328316,"(2, 5)",0.7931222928450351,"[(1, 5), (2, 5)]",0.793122292845,"(1, 6)",0.49649550106,"(2, 7)",0.7639320225,"(1, 5)",0.560688328316,"(2, 5)",0.793122292845,HE
5,9,1,4,"T(9, 5, 1)",0.187603211587,"(1, 5)",0.530010046873,"(2, 5)",0.77033018886130944,"[(1, 5), (2, 5)]",0.770330188861,"(1, 6)",0.448365906223,"(2, 7)",0.671127818029,"(1, 5)",0.530010046873,"(2, 5)",0.770330188861,HE
5,10,1,5,"T(10, 5, 1)",0.177450330549,"(1, 5)",0.508521301748,"(2, 5)",0.75371906063588112,"[(1, 5), (2, 5)]",0.753719060636,"(1, 6)",0.417547032306,"(2, 7)",0.616815328392,"(1, 5)",0.508521301748,"(2, 5)",0.753719060636,HE
5,11,1,6,"T(11, 5, 1)",0.16998841184,"(1, 5)",0.492571926019,"(2, 5)",0.74103915882948412,"[(1, 5), (2, 5)]",0.741039158829,"(1, 6)",0.395938578858,"(2, 7)",0.580399229828,"(1, 5)",0.492571926019,"(2, 5)",0.741039158829,HE
5,12,1,7,"T(12, 5, 1)",0.164267772527,"(1, 5)",0.48023989471,"(2, 5)",0.73102665831650793,"[(1, 5), (2, 5)]",0.731026658317,"(1, 6)",0.379884143211,"(2, 7)",0.554061477796,"(1, 5)",0.48023989471,"(2, 5)",0.731026658317,HE
5,13,1,8,"T(13, 5, 1)",0.159740252149,"(1, 5)",0.470408278894,"(2, 5)",0.7229120720402592,"[(1, 5), (2, 5)]",0.72291207204,"(1, 6)",0.367459466262,"(2, 7)",0.534041995239,"(1, 5)",0.470408278894,"(2, 5)",0.72291207204,HE
5,14,1,9,"T(14, 5, 1)",0.156066646419,"(1, 5)",0.462380602089,"(2, 5)",0.71619823927918735,"[(1, 5), (2, 5)]",0.716198239279,"(1, 6)",0.357545966763,"(2, 7)",0.518273144387,"(1, 5)",0.462380602089,"(2, 5)",0.716198239279,HE
5,15,1,10,"T(15, 5, 1)",0.153025544145,"(1, 5)",0.455698772813,"(2, 5)",0.71054885558407943,"[(1, 5), (2, 5)]",0.710548855584,"(1, 6)",0.34944569969,"(2, 7)",0.505512530567,"(1, 5)",0.455698772813,"(2, 5)",0.710548855584,HE
5,16,1,11,"T(16, 5, 1)",0.150466165356,"(1, 5)",0.450048575004,"(2, 5)",0.70572791511430188,"[(1, 5), (2, 5)]",0.705727915114,"(1, 6)",0.342699273413,"(2, 7)",0.49496435614,"(1, 5)",0.450048575004,"(2, 5)",0.705727915114,HE
5,17,1,12,"T(17, 5, 1)",0.148282221988,"(1, 5)",0.445207024718,"(2, 5)",0.7015647282845231,"[(1, 5), (2, 5)]",0.701564728285,"(1, 6)",0.336991347054,"(2, 7)",0.486093467658,"(1, 5)",0.445207024718,"(2, 5)",0.701564728285,HE
