D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
23,25,1,2,"T(1, 2, 23)",0.0158,"(1, 24)",0.0625,"(1, 23)",0.0624,"(3, 23)",0.0637,HP
23,26,1,3,"T(1, 3, 23)",0.0148,"(1, 24)",0.0577,"(1, 23)",0.0579,"(3, 26)",0.0603,HE
23,27,1,4,"T(1, 4, 23)",0.0138,"(1, 24)",0.0537,"(1, 23)",0.0541,"(4, 23)",0.0579,HE
23,28,1,5,"T(1, 5, 23)",0.0131,"(1, 24)",0.0503,"(1, 23)",0.051,"(4, 26)",0.0559,HE
23,29,1,6,"T(1, 6, 23)",0.0124,"(1, 24)",0.0475,"(1, 23)",0.0483,"(5, 23)",0.0545,HE
23,30,1,7,"T(1, 7, 23)",0.0119,"(1, 24)",0.045,"(1, 23)",0.046,"(5, 27)",0.0534,HE
23,31,1,8,"T(1, 8, 23)",0.0114,"(1, 24)",0.0429,"(1, 23)",0.0441,"(5, 28)",0.0523,HE
23,32,1,9,"T(1, 9, 23)",0.0109,"(1, 24)",0.0411,"(1, 23)",0.0423,"(6, 23)",0.0513,HE
23,33,1,10,"T(1, 10, 23)",0.0106,"(1, 24)",0.0395,"(1, 23)",0.0408,"(6, 23)",0.0509,HE
23,34,1,11,"T(1, 11, 23)",0.0102,"(1, 24)",0.0381,"(1, 23)",0.0395,"(6, 23)",0.0504,HE
23,35,1,12,"T(1, 12, 23)",0.0099,"(1, 24)",0.0369,"(1, 23)",0.0383,"(6, 31)",0.0499,HE
23,36,1,13,"T(1, 13, 23)",0.0097,"(1, 24)",0.0358,"(1, 23)",0.0373,"(6, 33)",0.0495,HE
23,37,1,14,"T(1, 14, 23)",0.0094,"(1, 24)",0.0348,"(1, 23)",0.0363,"(6, 23)",0.049,HE
23,38,1,15,"T(1, 15, 23)",0.0092,"(1, 24)",0.0339,"(1, 23)",0.0354,"(6, 23)",0.0485,HE
23,39,1,16,"T(1, 16, 23)",0.009,"(1, 24)",0.0331,"(1, 23)",0.0347,"(6, 23)",0.048,HE
23,40,1,17,"T(1, 17, 23)",0.0088,"(1, 24)",0.0323,"(1, 23)",0.0339,"(6, 23)",0.0475,HE
23,41,1,18,"T(1, 18, 23)",0.0086,"(1, 24)",0.0317,"(1, 23)",0.0333,"(7, 23)",0.0474,HE
23,42,1,19,"T(1, 19, 23)",0.0085,"(1, 24)",0.0311,"(1, 23)",0.0327,"(7, 23)",0.0473,HE
23,43,1,20,"T(1, 20, 23)",0.0084,"(1, 24)",0.0305,"(1, 23)",0.0321,"(7, 23)",0.0473,HE
23,44,1,21,"T(1, 21, 23)",0.0082,"(1, 24)",0.03,"(1, 23)",0.0316,"(7, 23)",0.0472,HE
23,45,1,22,"T(1, 22, 23)",0.0081,"(1, 24)",0.0295,"(1, 23)",0.0311,"(7, 23)",0.0471,HE
23,46,1,23,"T(1, 23, 23)",0.008,"(1, 24)",0.029,"(1, 23)",0.0307,"(7, 23)",0.0471,HE
