D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
27,29,1,2,"T(1, 2, 27)",0.0118,"(1, 28)",0.0466,"(1, 27)",0.0465,"(3, 27)",0.0472,HP
27,30,1,3,"T(1, 3, 27)",0.011,"(1, 28)",0.0435,"(1, 27)",0.0436,"(3, 29)",0.0448,HE
27,31,1,4,"T(1, 4, 27)",0.0104,"(1, 28)",0.0408,"(1, 27)",0.0411,"(4, 29)",0.0431,HE
27,32,1,5,"T(1, 5, 27)",0.0099,"(1, 28)",0.0385,"(1, 27)",0.0389,"(5, 27)",0.0416,HE
27,33,1,6,"T(1, 6, 27)",0.0094,"(1, 28)",0.0365,"(1, 27)",0.037,"(5, 31)",0.0405,HE
27,34,1,7,"T(1, 7, 27)",0.009,"(1, 28)",0.0348,"(1, 27)",0.0353,"(5, 34)",0.0395,HE
27,35,1,8,"T(1, 8, 27)",0.0087,"(1, 28)",0.0332,"(1, 27)",0.0339,"(6, 27)",0.0388,HE
27,36,1,9,"T(1, 9, 27)",0.0083,"(1, 28)",0.0319,"(1, 27)",0.0326,"(6, 31)",0.0382,HE
27,37,1,10,"T(1, 10, 27)",0.0081,"(1, 28)",0.0307,"(1, 27)",0.0315,"(6, 28)",0.0376,HE
27,38,1,11,"T(1, 11, 27)",0.0078,"(1, 28)",0.0297,"(1, 27)",0.0305,"(6, 32)",0.037,HE
27,39,1,12,"T(1, 12, 27)",0.0076,"(1, 28)",0.0287,"(1, 27)",0.0296,"(7, 27)",0.0367,HE
27,40,1,13,"T(1, 13, 27)",0.0074,"(1, 28)",0.0279,"(1, 27)",0.0287,"(7, 27)",0.0365,HE
27,41,1,14,"T(1, 14, 27)",0.0072,"(1, 28)",0.0271,"(1, 27)",0.028,"(7, 27)",0.0362,HE
27,42,1,15,"T(1, 15, 27)",0.007,"(1, 28)",0.0264,"(1, 27)",0.0273,"(7, 37)",0.0359,HE
27,43,1,16,"T(1, 16, 27)",0.0069,"(1, 28)",0.0258,"(1, 27)",0.0267,"(7, 29)",0.0356,HE
27,44,1,17,"T(1, 17, 27)",0.0067,"(1, 28)",0.0252,"(1, 27)",0.0262,"(7, 27)",0.0353,HE
27,45,1,18,"T(1, 18, 27)",0.0066,"(1, 28)",0.0247,"(1, 27)",0.0256,"(7, 27)",0.035,HE
27,46,1,19,"T(1, 19, 27)",0.0065,"(1, 28)",0.0242,"(1, 27)",0.0252,"(7, 27)",0.0348,HE
27,47,1,20,"T(1, 20, 27)",0.0064,"(1, 28)",0.0237,"(1, 27)",0.0247,"(8, 27)",0.0346,HE
27,48,1,21,"T(1, 21, 27)",0.0063,"(1, 28)",0.0233,"(1, 27)",0.0243,"(8, 27)",0.0345,HE
27,49,1,22,"T(1, 22, 27)",0.0062,"(1, 28)",0.0229,"(1, 27)",0.0239,"(8, 27)",0.0345,HE
27,50,1,23,"T(1, 23, 27)",0.0061,"(1, 28)",0.0225,"(1, 27)",0.0236,"(8, 27)",0.0344,HE
27,51,1,24,"T(1, 24, 27)",0.006,"(1, 28)",0.0222,"(1, 27)",0.0232,"(8, 27)",0.0343,HE
27,52,1,25,"T(1, 25, 27)",0.0059,"(1, 28)",0.0219,"(1, 27)",0.0229,"(8, 27)",0.0343,HE
27,53,1,26,"T(1, 26, 27)",0.0058,"(1, 28)",0.0216,"(1, 27)",0.0226,"(8, 27)",0.0342,HE
27,54,1,27,"T(1, 27, 27)",0.0058,"(1, 28)",0.0213,"(1, 27)",0.0224,"(8, 27)",0.0341,HE
