D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
29,31,1,2,"T(1, 2, 29)",0.0103,"(1, 30)",0.0408,"(1, 29)",0.0408,"(3, 29)",0.0412,Iguais
29,32,1,3,"T(1, 3, 29)",0.0097,"(1, 30)",0.0383,"(1, 29)",0.0383,"(3, 31)",0.0393,Iguais
29,33,1,4,"T(1, 4, 29)",0.0092,"(1, 30)",0.0361,"(1, 29)",0.0362,"(4, 32)",0.0377,HE
29,34,1,5,"T(1, 5, 29)",0.0087,"(1, 30)",0.0341,"(1, 29)",0.0344,"(5, 29)",0.0365,HE
29,35,1,6,"T(1, 6, 29)",0.0083,"(1, 30)",0.0324,"(1, 29)",0.0328,"(5, 30)",0.0355,HE
29,36,1,7,"T(1, 7, 29)",0.008,"(1, 30)",0.0309,"(1, 29)",0.0313,"(6, 29)",0.0347,HE
29,37,1,8,"T(1, 8, 29)",0.0077,"(1, 30)",0.0296,"(1, 29)",0.0301,"(6, 29)",0.034,HE
29,38,1,9,"T(1, 9, 29)",0.0074,"(1, 30)",0.0284,"(1, 29)",0.029,"(6, 32)",0.0334,HE
29,39,1,10,"T(1, 10, 29)",0.0072,"(1, 30)",0.0274,"(1, 29)",0.028,"(7, 29)",0.0329,HE
29,40,1,11,"T(1, 11, 29)",0.0069,"(1, 30)",0.0265,"(1, 29)",0.0271,"(7, 29)",0.0325,HE
29,41,1,12,"T(1, 12, 29)",0.0067,"(1, 30)",0.0257,"(1, 29)",0.0263,"(7, 29)",0.0322,HE
29,42,1,13,"T(1, 13, 29)",0.0066,"(1, 30)",0.0249,"(1, 29)",0.0256,"(7, 30)",0.0318,HE
29,43,1,14,"T(1, 14, 29)",0.0064,"(1, 30)",0.0242,"(1, 29)",0.0249,"(7, 42)",0.0315,HE
29,44,1,15,"T(1, 15, 29)",0.0062,"(1, 30)",0.0236,"(1, 29)",0.0243,"(7, 29)",0.0312,HE
29,45,1,16,"T(1, 16, 29)",0.0061,"(1, 30)",0.023,"(1, 29)",0.0238,"(8, 29)",0.031,HE
29,46,1,17,"T(1, 17, 29)",0.006,"(1, 30)",0.0225,"(1, 29)",0.0233,"(8, 29)",0.0308,HE
29,47,1,18,"T(1, 18, 29)",0.0059,"(1, 30)",0.022,"(1, 29)",0.0228,"(8, 29)",0.0307,HE
29,48,1,19,"T(1, 19, 29)",0.0058,"(1, 30)",0.0216,"(1, 29)",0.0224,"(8, 29)",0.0306,HE
29,49,1,20,"T(1, 20, 29)",0.0057,"(1, 30)",0.0212,"(1, 29)",0.022,"(8, 29)",0.0304,HE
29,50,1,21,"T(1, 21, 29)",0.0056,"(1, 30)",0.0208,"(1, 29)",0.0216,"(8, 35)",0.0303,HE
29,51,1,22,"T(1, 22, 29)",0.0055,"(1, 30)",0.0205,"(1, 29)",0.0213,"(8, 33)",0.0301,HE
29,52,1,23,"T(1, 23, 29)",0.0054,"(1, 30)",0.0201,"(1, 29)",0.021,"(8, 29)",0.03,HE
29,53,1,24,"T(1, 24, 29)",0.0053,"(1, 30)",0.0198,"(1, 29)",0.0207,"(8, 29)",0.0298,HE
29,54,1,25,"T(1, 25, 29)",0.0052,"(1, 30)",0.0195,"(1, 29)",0.0204,"(8, 29)",0.0297,HE
29,55,1,26,"T(1, 26, 29)",0.0052,"(1, 30)",0.0193,"(1, 29)",0.0201,"(8, 29)",0.0296,HE
29,56,1,27,"T(1, 27, 29)",0.0051,"(1, 30)",0.019,"(1, 29)",0.0199,"(8, 29)",0.0294,HE
29,57,1,28,"T(1, 28, 29)",0.0051,"(1, 30)",0.0188,"(1, 29)",0.0196,"(8, 29)",0.0293,HE
29,58,1,29,"T(1, 29, 29)",0.005,"(1, 30)",0.0186,"(1, 29)",0.0194,"(8, 29)",0.0291,HE
