D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
15,17,1,2,"T(1, 2, 15)",0.0344,"(1, 16)",0.1327,"(1, 15)",0.1319,"(2, 17)",0.1398,HP
15,18,1,3,"T(1, 3, 15)",0.0314,"(1, 16)",0.1182,"(1, 15)",0.1193,"(3, 15)",0.1325,HE
15,19,1,4,"T(1, 4, 15)",0.029,"(1, 16)",0.1073,"(1, 15)",0.1097,"(3, 19)",0.1267,HE
15,20,1,5,"T(1, 5, 15)",0.0271,"(1, 16)",0.0989,"(1, 15)",0.1022,"(4, 15)",0.1233,HE
15,21,1,6,"T(1, 6, 15)",0.0256,"(1, 16)",0.0922,"(1, 15)",0.0962,"(4, 15)",0.1214,HE
15,22,1,7,"T(1, 7, 15)",0.0244,"(1, 16)",0.0869,"(1, 15)",0.0913,"(4, 15)",0.1194,HE
15,23,1,8,"T(1, 8, 15)",0.0233,"(1, 16)",0.0825,"(1, 15)",0.0872,"(4, 15)",0.1171,HE
15,24,1,9,"T(1, 9, 15)",0.0224,"(1, 16)",0.0788,"(1, 15)",0.0838,"(4, 15)",0.1148,HE
15,25,1,10,"T(1, 10, 15)",0.0216,"(1, 16)",0.0757,"(1, 15)",0.0809,"(4, 15)",0.1124,HE
15,26,1,11,"T(1, 11, 15)",0.021,"(1, 16)",0.073,"(1, 15)",0.0783,"(4, 15)",0.1101,HE
15,27,1,12,"T(1, 12, 15)",0.0204,"(1, 16)",0.0707,"(1, 15)",0.0761,"(4, 15)",0.1078,HE
15,28,1,13,"T(1, 13, 15)",0.0199,"(1, 16)",0.0686,"(1, 15)",0.0742,"(4, 15)",0.1057,HE
15,29,1,14,"T(1, 14, 15)",0.0194,"(1, 16)",0.0668,"(1, 15)",0.0724,"(4, 15)",0.1038,HE
15,30,1,15,"T(1, 15, 15)",0.019,"(1, 16)",0.0652,"(1, 15)",0.0709,"(4, 15)",0.1019,HE
