D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
22,24,1,2,"T(1, 2, 22)",0.0172,"(1, 23)",0.0677,"(1, 22)",0.0676,"(3, 22)",0.0691,HP
22,25,1,3,"T(1, 3, 22)",0.016,"(1, 23)",0.0624,"(1, 22)",0.0625,"(3, 24)",0.0655,HE
22,26,1,4,"T(1, 4, 22)",0.015,"(1, 23)",0.0579,"(1, 22)",0.0584,"(4, 22)",0.0629,HE
22,27,1,5,"T(1, 5, 22)",0.0141,"(1, 23)",0.0541,"(1, 22)",0.0549,"(4, 25)",0.0608,HE
22,28,1,6,"T(1, 6, 22)",0.0134,"(1, 23)",0.051,"(1, 22)",0.052,"(5, 22)",0.0592,HE
22,29,1,7,"T(1, 7, 22)",0.0128,"(1, 23)",0.0483,"(1, 22)",0.0495,"(5, 22)",0.058,HE
22,30,1,8,"T(1, 8, 22)",0.0122,"(1, 23)",0.046,"(1, 22)",0.0473,"(5, 26)",0.057,HE
22,31,1,9,"T(1, 9, 22)",0.0118,"(1, 23)",0.0441,"(1, 22)",0.0455,"(5, 31)",0.0558,HE
22,32,1,10,"T(1, 10, 22)",0.0114,"(1, 23)",0.0423,"(1, 22)",0.0439,"(6, 22)",0.0551,HE
22,33,1,11,"T(1, 11, 22)",0.011,"(1, 23)",0.0408,"(1, 22)",0.0424,"(6, 22)",0.0547,HE
22,34,1,12,"T(1, 12, 22)",0.0107,"(1, 23)",0.0395,"(1, 22)",0.0412,"(6, 22)",0.0543,HE
22,35,1,13,"T(1, 13, 22)",0.0104,"(1, 23)",0.0383,"(1, 22)",0.04,"(6, 22)",0.0539,HE
22,36,1,14,"T(1, 14, 22)",0.0101,"(1, 23)",0.0373,"(1, 22)",0.039,"(6, 26)",0.0535,HE
22,37,1,15,"T(1, 15, 22)",0.0099,"(1, 23)",0.0363,"(1, 22)",0.0381,"(6, 22)",0.0531,HE
22,38,1,16,"T(1, 16, 22)",0.0097,"(1, 23)",0.0354,"(1, 22)",0.0372,"(6, 22)",0.0527,HE
22,39,1,17,"T(1, 17, 22)",0.0095,"(1, 23)",0.0347,"(1, 22)",0.0365,"(6, 22)",0.0522,HE
22,40,1,18,"T(1, 18, 22)",0.0093,"(1, 23)",0.0339,"(1, 22)",0.0358,"(6, 22)",0.0518,HE
22,41,1,19,"T(1, 19, 22)",0.0092,"(1, 23)",0.0333,"(1, 22)",0.0352,"(6, 22)",0.0513,HE
22,42,1,20,"T(1, 20, 22)",0.009,"(1, 23)",0.0327,"(1, 22)",0.0346,"(6, 22)",0.0509,HE
22,43,1,21,"T(1, 21, 22)",0.0089,"(1, 23)",0.0321,"(1, 22)",0.034,"(6, 22)",0.0505,HE
22,44,1,22,"T(1, 22, 22)",0.0087,"(1, 23)",0.0316,"(1, 22)",0.0335,"(7, 22)",0.0501,HE
