D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
28,30,1,2,"T(1, 2, 28)",0.011,"(1, 29)",0.0436,"(1, 28)",0.0435,"(3, 28)",0.044,HP
28,31,1,3,"T(1, 3, 28)",0.0103,"(1, 29)",0.0408,"(1, 28)",0.0408,"(3, 31)",0.0419,Iguais
28,32,1,4,"T(1, 4, 28)",0.0098,"(1, 29)",0.0383,"(1, 28)",0.0385,"(4, 29)",0.0403,HE
28,33,1,5,"T(1, 5, 28)",0.0093,"(1, 29)",0.0362,"(1, 28)",0.0365,"(5, 28)",0.0389,HE
28,34,1,6,"T(1, 6, 28)",0.0089,"(1, 29)",0.0344,"(1, 28)",0.0348,"(5, 33)",0.0379,HE
28,35,1,7,"T(1, 7, 28)",0.0085,"(1, 29)",0.0328,"(1, 28)",0.0332,"(6, 28)",0.0369,HE
28,36,1,8,"T(1, 8, 28)",0.0081,"(1, 29)",0.0313,"(1, 28)",0.0319,"(6, 28)",0.0363,HE
28,37,1,9,"T(1, 9, 28)",0.0079,"(1, 29)",0.0301,"(1, 28)",0.0307,"(6, 31)",0.0357,HE
28,38,1,10,"T(1, 10, 28)",0.0076,"(1, 29)",0.029,"(1, 28)",0.0297,"(6, 36)",0.0351,HE
28,39,1,11,"T(1, 11, 28)",0.0074,"(1, 29)",0.028,"(1, 28)",0.0287,"(7, 28)",0.0347,HE
28,40,1,12,"T(1, 12, 28)",0.0071,"(1, 29)",0.0271,"(1, 28)",0.0279,"(7, 28)",0.0344,HE
28,41,1,13,"T(1, 13, 28)",0.007,"(1, 29)",0.0263,"(1, 28)",0.0271,"(7, 28)",0.034,HE
28,42,1,14,"T(1, 14, 28)",0.0068,"(1, 29)",0.0256,"(1, 28)",0.0264,"(7, 42)",0.0337,HE
28,43,1,15,"T(1, 15, 28)",0.0066,"(1, 29)",0.0249,"(1, 28)",0.0258,"(7, 41)",0.0334,HE
28,44,1,16,"T(1, 16, 28)",0.0065,"(1, 29)",0.0243,"(1, 28)",0.0252,"(7, 28)",0.0331,HE
28,45,1,17,"T(1, 17, 28)",0.0063,"(1, 29)",0.0238,"(1, 28)",0.0247,"(7, 28)",0.0328,HE
28,46,1,18,"T(1, 18, 28)",0.0062,"(1, 29)",0.0233,"(1, 28)",0.0242,"(8, 28)",0.0327,HE
28,47,1,19,"T(1, 19, 28)",0.0061,"(1, 29)",0.0228,"(1, 28)",0.0237,"(8, 28)",0.0326,HE
28,48,1,20,"T(1, 20, 28)",0.006,"(1, 29)",0.0224,"(1, 28)",0.0233,"(8, 28)",0.0325,HE
28,49,1,21,"T(1, 21, 28)",0.0059,"(1, 29)",0.022,"(1, 28)",0.0229,"(8, 28)",0.0324,HE
28,50,1,22,"T(1, 22, 28)",0.0058,"(1, 29)",0.0216,"(1, 28)",0.0225,"(8, 28)",0.0323,HE
28,51,1,23,"T(1, 23, 28)",0.0057,"(1, 29)",0.0213,"(1, 28)",0.0222,"(8, 28)",0.0321,HE
28,52,1,24,"T(1, 24, 28)",0.0056,"(1, 29)",0.021,"(1, 28)",0.0219,"(8, 47)",0.032,HE
28,53,1,25,"T(1, 25, 28)",0.0056,"(1, 29)",0.0207,"(1, 28)",0.0216,"(8, 28)",0.0319,HE
28,54,1,26,"T(1, 26, 28)",0.0055,"(1, 29)",0.0204,"(1, 28)",0.0213,"(8, 28)",0.0318,HE
28,55,1,27,"T(1, 27, 28)",0.0054,"(1, 29)",0.0201,"(1, 28)",0.0211,"(8, 28)",0.0317,HE
28,56,1,28,"T(1, 28, 28)",0.0054,"(1, 29)",0.0199,"(1, 28)",0.0208,"(8, 28)",0.0316,HE
