D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
11,13,1,2,"T(1, 2, 11)",0.0595,"(1, 12)",0.2201,"(1, 11)",0.2179,"(2, 13)",0.2459,HP
11,14,1,3,"T(1, 3, 11)",0.0535,"(1, 12)",0.1901,"(1, 11)",0.194,"(3, 11)",0.233,HE
11,15,1,4,"T(1, 4, 11)",0.0491,"(1, 12)",0.1699,"(1, 11)",0.1773,"(3, 11)",0.2273,HE
11,16,1,5,"T(1, 5, 11)",0.0458,"(1, 12)",0.1554,"(1, 11)",0.1649,"(3, 11)",0.2188,HE
11,17,1,6,"T(1, 6, 11)",0.0432,"(1, 12)",0.1445,"(1, 11)",0.1553,"(3, 11)",0.2093,HE
11,18,1,7,"T(1, 7, 11)",0.0411,"(1, 12)",0.136,"(1, 11)",0.1477,"(3, 11)",0.2005,HE
11,19,1,8,"T(1, 8, 11)",0.0394,"(1, 12)",0.1292,"(1, 11)",0.1415,"(3, 11)",0.1927,HE
11,20,1,9,"T(1, 9, 11)",0.038,"(1, 12)",0.1237,"(1, 11)",0.1364,"(3, 11)",0.186,HE
11,21,1,10,"T(1, 10, 11)",0.0368,"(1, 12)",0.119,"(1, 11)",0.1321,"(3, 11)",0.1803,HE
11,22,1,11,"T(1, 11, 11)",0.0357,"(1, 12)",0.1151,"(1, 11)",0.1284,"(3, 11)",0.1753,HE
